id,name,debut,company_id,fanclub_name,active,type
448,Claim Oscillating,2019-11-26,15236,Terminal,True,girl groups
449,Simple Engineer,2015-10-9,36015,Persistent,True,girl groups
450,Phalanx Staccato,2022-10-7,79165,Annoying,True,boy groups
451,Garlic Antique,2013-12-1,78809,,True,boy groups
452,Feldspar Ice,2022-2-10,61993,,True,boy groups
453,Cool Herring,2021-1-29,96155,,True,boy groups
454,Feta International,2019-4-23,46494,Rapid,True,girl groups
455,Halo Caramelized,2015-12-23,50168,International,True,boy groups
456,Coal Ellipsis,2023-6-17,38517,,True,boy groups
457,Olive Appraisal,2010-12-25,36885,,True,girl groups
458,Pile Icy,2012-5-16,30619,,True,boy groups
459,Marlin Inscribed,2019-6-11,86287,Mean,True,boy groups
460,Acidic Relaxation,2011-12-14,75021,Smoked,True,girl groups
461,Arrowroot Chalky,2010-3-11,34698,Complete,True,boy groups
462,Aqueduct Seasoned,2017-5-11,47925,Deterministic,True,girl groups
463,Many Strut,2022-3-9,1393,Toasted,False,girl groups
464,Midpoint Toasted,2014-1-17,39654,,False,girl groups
465,Random Formation,2011-4-11,21742,,True,boy groups
466,Shot Icy,2016-8-13,14651,Purple,True,girl groups
467,Flat Foley,2022-11-13,5195,Inclusive,True,girl groups
468,Row Young,2023-2-13,14913,Mechanical,True,girl groups
469,Fermented Eel,2016-9-9,33172,Loyal,True,boy groups
470,Barrier Figurative,2012-1-15,77303,,False,boy groups
471,Excited Falcon,2011-1-27,3328,,True,girl groups
472,Nut Similar,2013-7-27,43612,Freezing,False,boy groups
473,Rest Forward,2023-4-4,83387,Flush,True,boy groups
474,Gray Tee,2022-10-1,71239,,True,boy groups
475,Skinny Yak,2020-11-22,67247,,False,boy groups
476,Mild Azimuth,2011-8-29,47449,,False,girl groups
477,Persistent Arena,2023-2-7,46865,All,True,girl groups
478,Mandrill Honest,2017-6-21,10938,,True,boy groups
479,Envelope Matching,2010-9-21,12148,,True,boy groups
480,Rail Caramelized,2018-1-26,91247,,False,girl groups
481,Skillset Binary,2017-12-13,9166,,False,girl groups
482,Cover Quadratic,2013-2-7,11021,Tart,True,boy groups
483,Prism Sleek,2015-6-12,76854,Massive,True,boy groups
484,Many Twill,2020-1-21,45584,Hushed,True,boy groups
485,Wall Watery,2018-2-26,18917,,True,girl groups
486,Right Italic,2020-9-11,33877,Current,False,girl groups
487,Planar Resolution,2011-3-25,11903,,True,girl groups
488,Current Museum,2017-8-15,32791,Figurative,True,boy groups
