id,name,debut,company_id,fanclub_name,active,type
50448,Inventory Legacy,2014-8-3,66736,,True,girl groups
50449,Sea Inventive,2013-8-6,37615,Obnoxious,True,girl groups
50450,Proper Trigger,2018-12-27,9041,,False,boy groups
50451,Chalky Pile,2022-6-25,81400,Juicy,True,boy groups
50452,Covering Molding,2011-10-26,48235,,True,boy groups
50453,Angle Rigid,2020-1-7,27180,Brutal,False,boy groups
50454,Chromatic Projection,2013-8-17,62888,Plain,True,girl groups
50455,Mantel Syrupy,2022-6-27,88182,,False,girl groups
50456,Product Credits,2023-4-5,46597,Seething,True,boy groups
50457,Herring Rowdy,2011-11-23,71157,,True,boy groups
50458,Polygon Pleasant,2014-11-6,86311,,True,girl groups
50459,Grunt Grating,2010-10-29,16092,Relative,True,girl groups
50460,Overcast Mahogany,2023-7-17,47175,Weary,True,girl groups
50461,Vibrato Bosun,2023-12-3,71068,Broad,True,girl groups
50462,Heartless Mushroom,2022-1-7,75258,Bitter,False,boy groups
50463,Ski Recursive,2016-10-17,43756,,True,girl groups
50464,Passenger Sweet,2017-12-12,23284,,True,boy groups
50465,Adagio Contract,2020-9-15,12689,Big,True,girl groups
50466,Direct Inflection,2022-10-29,6090,Rancid,False,boy groups
50467,Paprika Interior,2014-3-13,81731,,False,boy groups
50468,Flat Nugget,2015-7-14,87299,,True,boy groups
50469,Full Player,2015-5-2,86018,Soluble,False,boy groups
50470,Resolving Claim,2014-1-2,46906,,True,boy groups
50471,Base Chalky,2012-4-24,22349,Crabby,False,girl groups
50472,Sharp Mad,2023-10-18,8334,,False,girl groups
50473,Fencing Matching,2023-3-29,35187,,True,boy groups
50474,Frame Cold,2014-7-5,66860,,False,girl groups
50475,Accepting Span,2013-8-29,5120,,True,boy groups
50476,Counting Lead,2017-3-15,5122,,True,boy groups
50477,Broad Celesta,2010-1-2,4986,Moist,False,girl groups
50478,Inference Active,2020-7-8,60049,Direct,True,boy groups
50479,Jovial Soda,2023-10-13,81675,Average,True,girl groups
50480,Improvement Full,2022-11-4,99569,Brass,True,boy groups
50481,Convection Resultant,2023-2-27,71922,,True,boy groups
50482,Map Lazy,2014-3-8,91318,Frigid,True,girl groups
50483,Nutty Arrangement,2022-4-24,28264,Pallid,False,girl groups
50484,Bold Equator,2019-2-19,77396,,True,boy groups
50485,Beef Scared,2015-11-25,51004,,True,boy groups
50486,Tangy Ginger,2023-11-8,10519,Concave,False,girl groups
50487,Marlin Coherent,2021-6-19,16038,Fixed,True,girl groups
50488,Average Elk,2021-10-16,1796,Creamy,True,girl groups
50489,Crypt Oscillating,2019-4-13,1397,Brown,True,boy groups
50490,Cheddar Dynamic,2018-11-6,59157,,True,girl groups
50491,Recursive Mile,2015-3-2,70701,Threaded,True,girl groups
50492,Isometric Assumption,2017-6-24,5579,Mature,True,boy groups
50493,Adjugate Chartreuse,2022-9-11,92513,Minty,True,girl groups
50494,Dome Kind,2010-5-1,33336,Frozen,True,boy groups
50495,Bird Convoluted,2015-1-7,12486,Elegant,True,boy groups
50496,Liner Shortest,2010-10-11,52458,,True,boy groups
50497,Worn Philly,2023-4-19,27571,Alternating,True,boy groups
50498,Antagonist Caramelized,2021-5-9,8868,Muted,True,girl groups
50499,Pounded Trap,2017-6-11,19334,Fresh,True,boy groups
50500,Graceful Yeast,2017-2-2,31460,,True,girl groups
50501,Brute Force,2023-3-24,79347,Mode,False,boy groups
50502,Board Stringy,2020-4-20,5690,Cruel,False,girl groups
50503,Instant Fossil,2010-6-23,28673,Grilled,True,girl groups
50504,Flush Jersey,2012-9-26,35212,Mashed,True,girl groups
50505,Binary Continent,2013-8-19,88267,,True,girl groups
50506,Conjunction Wintry,2010-10-13,57400,Scared,False,boy groups
50507,Conflict Stringy,2023-12-4,23126,Odious,False,boy groups
50508,Level Thick,2012-8-3,72631,,True,boy groups
50509,Printer Plumb,2018-2-18,87883,Adventurous,False,girl groups
50510,Human Use,2022-6-9,48891,Leather,True,boy groups
50511,Plumb Border,2020-3-5,43160,,True,boy groups
50512,Enamel Icy,2019-12-13,5635,,True,boy groups
50513,Maser Unary,2013-7-5,29124,Impulsive,True,boy groups
50514,Gutter Matte,2019-11-18,64548,Massive,True,girl groups
50515,Wake Afraid,2013-3-4,79344,Nondeterministic,False,boy groups
50516,Chain Camel,2023-7-1,14465,,True,boy groups
50517,Relative Leading,2014-6-24,59120,,True,boy groups
50518,Nice Clutch,2022-7-28,55644,Marked,True,girl groups
50519,Coherent Clef,2016-12-15,60540,Rectilinear,True,boy groups
50520,Frosty Value,2019-7-24,61118,,True,boy groups
50521,Scared Sax,2015-12-22,41845,Primordial,True,boy groups
50522,Halite Persistent,2023-11-2,1903,,True,boy groups
50523,Polo Cream,2017-12-3,28962,,False,girl groups
50524,West Breezy,2010-6-25,72818,Easy,True,boy groups
50525,Stew Frozen,2014-2-29,22460,,True,girl groups
50526,Relativity Synchronic,2018-5-28,17817,,True,girl groups
50527,Staff Hot,2022-10-25,10722,Arid,False,boy groups
50528,Commission Covering,2015-2-11,91446,Salmon,True,boy groups
50529,Fossil Savory,2016-9-8,79199,Bitter,True,boy groups
50530,Canyon Complete,2019-3-19,96701,Arctic,True,girl groups
50531,Circuit Rosy,2015-6-7,93713,,False,girl groups
50532,Pair Chalky,2017-2-12,61151,Gentle,True,boy groups
50533,Concurrent Term,2011-9-17,36602,,True,boy groups
50534,Dark Horn,2011-3-2,91657,Orthogonal,True,boy groups
