id,name,debut,company_id,fanclub_name,active,type
75448,Batch Blaring,2013-11-22,33203,,True,girl groups
75449,Beaker Citron,2019-6-27,68616,Callous,True,girl groups
75450,Internal Repository,2021-8-16,42121,Salmon,False,girl groups
75451,Coffer Icy,2012-9-29,7590,,True,boy groups
75452,Banana Cold,2013-3-20,18944,,True,boy groups
75453,Ribbon Neat,2020-5-6,91222,,True,boy groups
75454,Gravel Scalding,2011-4-22,6403,Wooden,True,girl groups
75455,Watt Wise,2018-12-16,71841,,True,girl groups
75456,Oil Creamy,2011-1-27,91260,,True,girl groups
75457,Constant Ligature,2018-2-13,37872,Knurled,True,boy groups
75458,Pounded Tarragon,2022-8-1,46154,Universal,True,boy groups
75459,Tower Legato,2014-3-10,93020,Fat,True,girl groups
75460,Calm Autobiography,2016-7-18,15803,Linear,True,girl groups
75461,Pan Messy,2012-4-12,14269,Claret,True,girl groups
75462,Deliverable Honest,2012-8-11,91015,Balanced,True,boy groups
75463,Cream Median,2020-7-3,42426,Staff,True,girl groups
75464,Augmenting Watch,2020-7-7,98768,Free,True,girl groups
75465,Gilded Sickbay,2013-9-19,84176,,True,boy groups
75466,Pond Simple,2019-10-27,43910,Bitter,False,girl groups
75467,Plasma Concave,2020-9-9,27817,Inflammable,True,girl groups
75468,Raft Brass,2011-5-2,33738,,True,girl groups
75469,Contract Odious,2021-1-24,41137,,True,boy groups
75470,Decidable Font,2023-1-7,98311,,True,boy groups
75471,Denim Amplitude,2010-12-29,26956,Fundamental,True,girl groups
75472,Longhair Cerulean,2018-10-22,8719,,True,boy groups
75473,Base Purple,2011-10-9,32087,Muffled,True,girl groups
75474,Mode Bed,2013-1-3,44124,,True,boy groups
75475,Chow Milky,2022-11-23,98824,,True,girl groups
75476,Denouement Selfish,2022-4-22,86417,Roaring,True,boy groups
75477,Stew Sunny,2017-9-17,37391,Legato,True,boy groups
75478,Cage Spry,2012-3-5,47079,Sizzling,True,girl groups
75479,Intricate Tanker,2017-1-10,83861,Cross,True,boy groups
75480,Bone Captain,2014-3-23,90179,,True,girl groups
75481,Extremal Bevel,2019-12-20,93626,Hasty,False,boy groups
75482,Frayed Set,2012-8-19,25994,,False,girl groups
75483,Scattering Irregular,2021-12-4,37186,Courtly,True,boy groups
75484,Miter Inclusive,2021-3-3,94827,,True,girl groups
75485,Taxonomic Note,2015-2-1,71689,,True,boy groups
75486,Brownian Price,2023-4-26,41845,Visible,True,boy groups
75487,Frigid Comment,2010-7-8,11709,Adjacent,False,boy groups
75488,Concrete Blazing,2016-2-22,8299,Urbane,False,girl groups
75489,Neutron Coincident,2011-12-22,100323,,True,boy groups
75490,Sleek Forest,2011-2-23,55055,,True,boy groups
75491,Runoff Best,2016-4-9,23786,,True,boy groups
75492,Parallel Founder,2010-4-20,20215,,True,girl groups
75493,Chocolate Bezier,2016-12-10,61126,Shrewd,True,boy groups
75494,Allegro Dividend,2015-3-18,40950,Long,True,girl groups
75495,Grass Spicy,2020-2-13,21167,,True,girl groups
75496,Acoustic Tube,2011-4-4,40159,,True,boy groups
75497,Director Intractable,2013-1-18,65116,,True,boy groups
75498,Mainmast Merry,2022-2-10,70542,Camel,True,girl groups
75499,Process Sparse,2017-2-27,91491,Soft,True,boy groups
75500,Cyclic Muenster,2012-6-2,49108,,True,boy groups
75501,Calm Forte,2014-3-20,36297,Religious,False,girl groups
75502,Espressivo Mallet,2013-7-23,71145,,True,girl groups
75503,Frozen Effect,2011-2-26,35603,Glossy,True,girl groups
75504,Reef Beveled,2015-7-6,6755,,True,boy groups
75505,Light Edible,2011-11-11,38099,Factorial,True,girl groups
75506,Meter Obvious,2019-1-10,5997,,False,girl groups
75507,Moderato Polygon,2018-6-19,23822,,False,girl groups
75508,Compact Helo,2015-1-5,75254,Andante,True,girl groups
75509,Sharp Frame,2018-11-16,93196,,True,boy groups
75510,Check Pounded,2023-8-28,8399,Humble,True,girl groups
