id,name,headquarter,country_id,founded_year
51126,International Collie,Basseterre,146,2019
51127,Blistering Thrush,Vaduz,100,2007
51128,Bitter Damper,Santiago,35,2013
51129,Potentiality Ornery,Copenhagen,47,2005
51130,Forward Fontina,Islamabad,132,2016
51131,Miniature Hamburger,Manila,139,2023
51132,Weary Bombay,Ouagadougou,27,2009
51133,Lenient Bezier,Tarawa Atoll,89,2012
51134,Apron Naive,Conakry,70,2022
51135,Tart Journal,Sarajevo,22,2022
51136,Young Bank,Bishkek,93,2014
51137,Jeep Humongous,Caracas,192,2000
51138,Brilliant Diatonic,Amsterdam,125,2022
51139,Jumbo Matrix,Monrovia,98,2011
51140,Fixed River,Nuku’alofa,177,2021
51141,Salmon Battery,Belgrade,154,2021
51142,Wan Notch,Beijing,36,2022
51143,Mace Emerald,Juba,163,2018
51144,Dynamic Guide,Podgorica,118,2019
51145,Succulent Exponential,Kiev,184,2015
51146,Heartless Coordinate,Sofia,26,2008
51147,Excited Subspace,Vaduz,100,2018
51148,Forgiving Range,Malabo,55,2015
51149,Column Central,Buenos Aires,7,2022
51150,Black Order,Havana,44,2016
51151,Broad Bunker,Asmara,56,2002
51152,Saturation Smoked,Nairobi,88,2003
51153,Element Bare,Andorra la Vella,4,2013
51154,Bazaar Planar,Gaborone,23,2006
51155,Soft Nutmeg,Gaborone,23,2010
51156,Value Connected,Port Louis,112,2005
51157,Metal Flow,Juba,163,2001
51158,Nervous Alternator,Sri Jayewardenepura Kotte,165,2017
51159,Magnetic Repo,Victoria,155,2021
51160,Turret Emerald,Moscow,144,2016
51161,Inverse Caliper,Port Moresby ,136,2009
51162,Pier Bitter,Kathmandu,124,2007
51163,Core Rude,Tegucigalpa,74,2004
51164,Citadel Concentric,Paramaribo,167,2009
51165,Pavilion Proud,Bamako,108,2005
51166,Glossy Oregano,Abu Dhabi,185,2018
51167,Refined Wireless,Islamabad,132,2012
51168,Fortress Icy,Tallinn,57,2003
51169,Grandioso Post,Asuncion,137,2005
51170,Impulsive Anchovy,Manama,13,2023
51171,Advanced Contour,Tbilisi,64,2016
51172,Damaged Quarter,Havana,44,2003
51173,Helmet Unary,Singapore,157,2015
51174,Wicker Bevel,Monrovia,98,2023
51175,Full Benefit,Brasilia,24,2023
51176,Hasty Peach,Nur Sultan,87,2012
51177,Fort Pizzicato,Ankara,180,2007
51178,Mint Gravel,Bratislava,158,2000
51179,Prepared Bean,Belmopan,18,2022
51180,Canary Interest,Tarawa Atoll,89,2018
51181,Melon Mute,San Marino,150,2022
51182,Chief River,Wellington,126,2021
51183,Total Muted,Nicosia,45,2020
51184,Tower Ripe,Brasilia,24,2001
51185,Advance Iron,Conakry,70,2004
51186,Gym Feasible,Taipei,172,2015
51187,Ternary Isotope,Madrid,164,2016
51188,Brute Monitor,Maseru,97,2015
51189,Fixed Surrender,Pyongyang,90,2016
51190,Post Gentle,Nuku’alofa,177,2014
51191,Exit Quantum,Cape Town,162,2002
51192,Narrow Player,Brussels,17,2013
51193,Debt Rigid,Jakarta,78,2007
51194,Spook Figurative,Prague,46,2009
51195,Chewy Mythology,Amman,86,2008
51196,Baluster Intense,Tegucigalpa,74,2007
51197,Turbine Eager,Niamey,128,2000
51198,Flat Traffic,Santiago,35,2015
51199,Pit Salty,San Salvador,54,2019
51200,Speed Fuchsia,Castries,147,2008
51201,Shrewd Beat,Tbilisi,64,2015
51202,Internal Creative,Kuwait City,92,2023
51203,White Level,Lima,138,2011
51204,Vertex Factorial,Harare,40,2017
51205,Primer Optical,Brussels,17,2006
51206,Skillet Free,Saint John’s,6,2005
51207,Piano Upbeat,Santo Domingo,50,2023
51208,Area Ordered,Rabat,119,2008
51209,Sidebar Ecru,Seoul,91,2011
51210,Quick Nutmeg,Madrid,164,2023
51211,Direct Bar,Vienna,10,2004
51212,Frisbee Other,Beirut,96,2001
51213,Chicken Seething,Dublin,81,2011
51214,Power Young,Tripoli,99,2017
51215,Visible Tom,Bridgetown,15,2013
51216,Succulent Surf,Tirane,2,2012
51217,Tangy Colby,Yaren District,123,2001
51218,Lambrusco Planar,Bangui,33,2023
51219,Jellied Level,Castries,147,2010
51220,Calorie Succulent,Melekeok,133,2014
51221,Purlin Raw,Kingstown ,148,2012
51222,Ray Foggy,Singapore,157,2008
51223,Aged Foundry,Thimphu,20,2012
51224,Redshift Level,Ramallah,134,2000
51225,Salmon Resultant,Paris,61,2008
51226,Swell Metallic,Lusaka,195,2012
51227,Nectar Direct,Canberra,9,2003
51228,Savory Product,Palikir,114,2018
51229,Edible Polygon,Muscat,131,2009
51230,Dictionary Central,New Delhi,77,2020
51231,Little Chianti,Chisinau,115,2015
51232,Human Jumbo,Paramaribo,167,2012
51233,Sardine Shrewd,Gitega,28,2020
51234,Helpful Merge,Ottawa,31,2000
51235,Meter Advanced,Port-Vila,190,2015
51236,Skill Merry,Windhoek,122,2015
51237,Counterpoint Chill,Islamabad,132,2021
51238,Offense Cold,Lisbon,141,2023
