id,name,headquarter,country_id,founded_year
76126,Navy Clubhouse,Nassau,12,2009
76127,Canary Liqueur,Port-Vila,190,2022
76128,Metallic Tower,Suva,59,2017
76129,Diction Elaborate,Abu Dhabi,185,2005
76130,Bed Weary,Ashgabat,181,2011
76131,Square Merciless,Majuro,110,2020
76132,Emerald Steel,Basseterre,146,2020
76133,Bobtail Warped,Paris,61,2011
76134,Stool Timid,Tbilisi,64,2017
76135,Camel Convergence,Jerusalem,82,2000
76136,En Mode,Melekeok,133,2003
76137,Cone Bold,Palikir,114,2005
76138,Each Jack,Khartoum,166,2008
76139,Ton Crabby,Harare,40,2007
76140,Product Spruce,Pyongyang,90,2004
76141,Winch Broad,Port-au-Prince,73,2007
76142,Tan Shiraz,Castries,147,2007
76143,Dark North,Port-au-Prince,73,2009
76144,Influencer Flashed,Manama,13,2021
76145,Progressive Void,Doha,142,2015
76146,Row Moist,Asuncion,137,2010
76147,Buck Nullary,Washington D.C.,187,2019
76148,Function Adaptive,Kathmandu,124,2017
76149,Prior Sunny,Nassau,12,2009
76150,Nutritious Option,Santo Domingo,50,2013
76151,Flow Polynomial,Antananarivo,104,2018
76152,Cork Open,Libreville,62,2019
76153,Little Plate,Brazzaville,39,2016
76154,Soft Hertz,Bamako,108,2019
76155,Weighted Time,Port-Vila,190,2010
76156,Global Configuration,Yerevan,8,2000
76157,Penguin Oriented,Belgrade,154,2019
76158,Changeset Plumb,Bissau,71,2006
76159,Pale Clause,Algiers,3,2007
76160,Polygon Ambitious,Mogadishu,161,2000
76161,Seasoned Anchovy,Damascus,171,2014
76162,Humane User,Yerevan,8,2008
76163,Nice Offset,Juba,163,2016
76164,Tart Hound,Ouagadougou,27,2001
76165,Innovation Senile,Warsaw,140,2015
76166,Participant Broad,Kingstown ,148,2016
76167,Weary Broadcloth,Ramallah,134,2023
76168,Patch Fancy,Taipei,172,2009
76169,Acid Ferocious,Ljubljana,159,2016
76170,Compact Amp,Tripoli,99,2020
76171,Chocolate Armory,Bogota,37,2009
76172,Plain Author,Brasilia,24,2018
76173,Big Novel,Podgorica,118,2010
76174,Smoked Oasis,Hanoi,193,2010
76175,Irregular Dimension,Havana,44,2021
76176,Rate Miniature,Saint George’s,68,2004
76177,Brute Force,Tegucigalpa,74,2019
76178,Cardinality Coped,Tashkent,189,2010
76179,Set Wicker,Addis Ababa,58,2017
76180,Mass Coherent,Panama City,135,2012
76181,Compact Use,Monrovia,98,2002
76182,Row Threadbare,Tehran,79,2001
76183,World Arctic,San Marino,150,2013
76184,Accepting Cornice,Port Louis,112,2010
76185,Principal Catalyst,Santiago,35,2021
76186,Latency Moderato,Kingstown ,148,2008
76187,Mild Mole,Minsk,16,2003
76188,Model Rounded,Apia,149,2022
76189,Teaser Wood,Asuncion,137,2021
76190,Iron Experience,Taipei,172,2012
76191,Shader Full,Bangkok,175,2000
76192,Mashed Catalyst,Manama,13,2008
76193,Style Obvious,Addis Ababa,58,2018
76194,Candied Filler,Nuku’alofa,177,2006
76195,Oriented Aerator,Harare,40,2019
76196,Bifocal Free,Roseau,49,2000
76197,Bog Bordeaux,Ulaanbaatar,117,2022
76198,Undirected Mandrill,Bangui,33,2010
76199,Antique Dot,Bamako,108,2013
76200,Jet Sledder,Washington D.C.,187,2019
76201,Canyon Hot,Abuja,129,2019
76202,Edible Pass,Sri Jayewardenepura Kotte,165,2013
76203,Current Muted,Cape Town,162,2010
76204,Continent Local,Bandar Seri Begawan,25,2011
76205,Cool Steel,Palikir,114,2018
76206,Direct Gym,Nicosia,45,2021
76207,Parkway Forward,Bucharest,143,2004
76208,Humble Genre,Baku,11,2007
76209,Methodology Central,Majuro,110,2000
76210,Quantum Axel,Tokyo,85,2017
76211,Shortest Artifact,Vilnius,101,2005
76212,Rectilinear Screed,Castries,147,2008
76213,Vicious Pigment,Nay Pyi Taw,121,2021
76214,Other Siberian,Roseau,49,2018
76215,Em Mild,Accra,66,2015
76216,Prison Dense,Bandar Seri Begawan,25,2002
76217,Strategy Caramelized,Warsaw,140,2015
76218,Object Hasty,Lome,176,2007
76219,Proud Delta,Ankara,180,2015
76220,Carrier Connected,Bridgetown,15,2013
76221,Nut Sluggish,Kingstown ,148,2013
76222,Ayu Old,Riga,95,2023
76223,Kind Trunk,Santiago,35,2011
76224,Absorption Warm,Maputo,120,2000
76225,Excited Clause,Islamabad,132,2004
76226,Tower Relaxed,Algiers,3,2018
76227,Shrine Corn,Port-of-Spain,178,2017
76228,Grenade Planar,Jakarta,78,2023
76229,Luminosity Corporate,Nuku’alofa,177,2002
76230,Late Class,Monrovia,98,2019
