id,name,headquarter,country_id,founded_year
1126,Fluke Humane,Asuncion,137,2015
1127,Yummy Dive,Sao Tome,151,2023
1128,Curious Stalk,Nuku’alofa,177,2004
1129,Hertz Salmon,Dili,51,2020
1130,Eel Worn,Taipei,172,2003
1131,Corn South,Belgrade,154,2005
1132,Prefix Humongous,Sanaa,194,2016
1133,Road Quick,Rabat,119,2008
1134,Hoops Serious,Suva,59,2003
1135,Scared Sphere,Vaduz,100,2020
1136,Orange Bungalow,Dakar,153,2018
1137,Pureed Kiosk,Sarajevo,22,2000
1138,Damaged Ridge,Djibouti,48,2015
1139,Golden Second,Brussels,17,2019
1140,Advanced Lambrusco,San Jose,41,2023
1141,Dyadic Citrus,Kigali,145,2019
1142,Chewy Vibes,Windhoek,122,2018
1143,Optical Maple,Apia,149,2019
1144,Few Fort,Kuwait City,92,2020
1145,Ferocious Retail,Maputo,120,2018
1146,Spicy Issue,Santiago,35,2022
1147,Send Coped,Belgrade,154,2005
1148,Blocking Predicate,Accra,66,2003
1149,Obtuse Mirror,Monrovia,98,2007
1150,Narrow Quark,Vaduz,100,2015
1151,Gravel Refined,Tegucigalpa,74,2002
1152,Mousse Cobalt,Lilongwe,105,2018
1153,Generous Flow,Budapest,75,2007
1154,Concentric Bay,Andorra la Vella,4,2003
1155,Mat Irregular,Belgrade,154,2023
1156,Boom Descriptive,Andorra la Vella,4,2013
1157,Maroon Omega,Amman,86,2023
1158,Glad Taxi,Dili,51,2006
1159,Isometric Audio,Rabat,119,2013
1160,Broker Proper,Buenos Aires,7,2008
1161,Counting Denim,San Marino,150,2010
1162,Plain Pavilion,Vilnius,101,2014
1163,Pepper Angry,Vilnius,101,2004
1164,Excited Chenille,Belgrade,154,2000
1165,Median Gentle,Manila,139,2009
1166,Hook Cold,Sao Tome,151,2013
1167,Turkey Forward,Prague,46,2000
1168,Canary Window,Tripoli,99,2021
1169,Align Polite,Zagreb,43,2011
1170,Acyclic Polo,Chisinau,115,2002
1171,Output Afraid,Kampala,183,2010
1172,Occurrence Counting,Brussels,17,2011
1173,Approximate Fusion,Abuja,129,2022
1174,Acquisition Boxy,Buenos Aires,7,2017
1175,Calm Beef,Taipei,172,2020
1176,Float Lively,Djibouti,48,2022
1177,Life Chartreuse,Bamako,108,2011
1178,Weary Block,Accra,66,2008
1179,Agent Perpendicular,Havana,44,2019
1180,Staccato Growth,Lusaka,195,2017
1181,Graph Minimum,Ljubljana,159,2022
1182,Greedy Source,Valletta,109,2007
1183,Internal Pagoda,Antananarivo,104,2004
1184,Hook Champagne,Conakry,70,2013
1185,Bamboo Smoggy,Manila,139,2018
1186,Frosty Thyme,Honiara,160,2003
1187,Ash Barn,Nicosia,45,2001
1188,Cool Wok,Accra,66,2016
1189,Insulated Burger,Brasilia,24,2020
1190,Extended Stage,Tbilisi,64,2023
1191,Warm Spice,Luxembourg,102,2016
1192,Debt Frigid,Reykjavik,76,2002
1193,Post Optical,Jerusalem,82,2022
1194,Exhaustive Script,Chisinau,115,2011
1195,Taping Plain,Dhaka,14,2006
1196,Guarantor Another,San Salvador,54,2022
1197,Magpie Worried,Malabo,55,2007
1198,Retail Creamy,Budapest,75,2002
1199,Elaborate Process,Monte Carlo,116,2016
1200,Toasted Pole,Victoria,155,2002
1201,Yummy Status,Madrid,164,2002
1202,Glove Forward,Palikir,114,2009
1203,Plum Function,Ljubljana,159,2007
1204,Beige Bevel,Khartoum,166,2003
1205,Ocean Nutty,Oslo,130,2022
1206,Overcast Format,Lima,138,2015
1207,Calm Exit,Khartoum,166,2007
1208,Cinema Bisque,Prague,46,2017
1209,Transom Dynamic,Monte Carlo,116,2009
1210,Tom Pureed,Djibouti,48,2020
1211,Vault Icy,La Paz,21,2017
1212,Chest Icy,Baghdad,80,2006
1213,Planar Curry,Manila,139,2005
1214,Independence New,Havana,44,2018
1215,Destination Cerulean,Tripoli,99,2017
1216,Sax Sweet,Ljubljana,159,2014
1217,Diffusion Resultant,Budapest,75,2018
1218,Hoary Dimension,Canberra,9,2014
1219,Consimilarity International,Nassau,12,2019
1220,Nullary Vulture,Manila,139,2001
1221,Indulgent Library,Phnom Penh,29,2009
1222,Acre Pale,Maputo,120,2002
1223,Sweet Ownership,Havana,44,2002
1224,Intense Mobile,Vatican City,191,2019
1225,Fixture Ambitious,Honiara,160,2002
1226,Loud Feta,Paris,61,2021
1227,Class Tense,Santiago,35,2007
1228,Bayonet Seething,Podgorica,118,2017
1229,Oscillating Asset,Honiara,160,2019
1230,Cobalt Rower,Abu Dhabi,185,2023
1231,Theater Grave,Ottawa,31,2019
1232,Humongous Funding,Ottawa,31,2006
1233,Pole Antique,Paris,61,2010
1234,Flour Nuclear,Tarawa Atoll,89,2014
1235,Stalk Coral,Dublin,81,2010
1236,Balanced Tuple,Podgorica,118,2023
1237,Crunchy Bay,Yaren District,123,2017
1238,Patio Green,Helsinki,60,2013
1239,Immature Schema,Tunis,179,2007
1240,Impulsive Snowboard,Palikir,114,2020
1241,Outlier Every,Maputo,120,2022
1242,Woolen Alphabet,Guatemala City,69,2004
1243,Obtuse Promo,New Delhi,77,2007
1244,Vicious Angel,Abu Dhabi,185,2017
